trials.label	trials.startVal	trials.stepSizes	trials.maxVal	trials.minVal	trials.thisIndex	trials.thisRepN	trials.thisN	trials.direction	trials.stepSize	trials.stepType	trials.intensity	key_resp.corr	trials.response	participant	session	date	expName	psychopyVersion	frameRate
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	50	49	down	0.005	db	0.050753968	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	51	50	down	0.005	db	0.050753968	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	52	51	up	0.005	db	0.050783193	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	53	52	up	0.005	db	0.050812435	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	54	53	up	0.005	db	0.050812435	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	55	54	up	0.005	db	0.050841693	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	56	55	up	0.005	db	0.050870968	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	57	56	up	0.005	db	0.050870968	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	58	57	up	0.005	db	0.05090026	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	59	58	up	0.005	db	0.05090026	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	60	59	up	0.005	db	0.05090026	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	61	60	down	0.005	db	0.050870968	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	62	61	up	0.005	db	0.05090026	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	63	62	up	0.005	db	0.05090026	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	64	63	up	0.005	db	0.05090026	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	65	64	down	0.005	db	0.050870968	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	66	65	up	0.005	db	0.05090026	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	67	66	up	0.005	db	0.050929569	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	68	67	up	0.005	db	0.050958895	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	69	68	up	0.005	db	0.050988238	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	70	69	up	0.005	db	0.051017598	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	71	70	up	0.005	db	0.051046974	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	72	71	up	0.005	db	0.051046974	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	73	72	up	0.005	db	0.051076368	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	74	73	up	0.005	db	0.051076368	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	75	74	up	0.005	db	0.051076368	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	76	75	down	0.005	db	0.051046974	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	77	76	down	0.005	db	0.051046974	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	78	77	down	0.005	db	0.051046974	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	79	78	down	0.005	db	0.051017598	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	80	79	up	0.005	db	0.051046974	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	81	80	up	0.005	db	0.051076368	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	82	81	up	0.005	db	0.051105778	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	83	82	up	0.005	db	0.051105778	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	84	83	up	0.005	db	0.051135205	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	85	84	up	0.005	db	0.05116465	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
